id,name,status,website,address,p_tag,i_tag,business_scope
153a4441de21983658908ddaabe785d9,江苏鼎吉能源工程技术有限公司,迁出,暂无官网信息,常州市新北区罗溪镇旺财路13号,,"科学研究和技术服务业,专业技术服务业,",电力设备、化工支吊架设备检修服务；建筑、结构抗震技术开发和技术服务；管道支吊架、阻尼器、可调煤粉分配
187e65010f99fdf606f2d56ab55509aa,南京诚顺机电有限公司,迁出,暂无官网信息,南京市江宁区秣陵街道双龙大道1568号水晶蓝湾01幢205室(江宁开发区),,"批发和零售业,批发业,机械设备、五金产品及电子产品批发,",五金交电、机电设备及配件、橡塑制品、化工原料、金属材料、建筑材料、日用百货销售。（依法须经批准的项目
7e19f7f24f2afe04c2db5b7108a91435,融泽能源科技（北京）有限公司,迁出,暂无官网信息,北京市朝阳区化工路59号院2号楼1至14层101内12层12086房间,"能源电力,新能源,","科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,",技术开发、技术咨询、技术转让、技术推广、技术服务；软件开发；货物进出口、技术进出口；销售计算机软件及
a26cbebbaef5e677d4f795a699d4b9fd,无锡市湛泸国际贸易有限公司,迁出,www.zhanlu-china.com,无锡市钱皋路168号(国联金属材料市场B栋593室),,"批发和零售业,批发业,矿产品、建材及化工产品批发,",自营和代理各类商品和技术的进出口业务（国家限定企业经营或禁止进出口的商品及技术除外）；金属材料及其制
057b26309478d192d397919b302fd70e,内蒙古兴安泰安全科技有限公司山东第一分公司,注销,暂无官网信息,山东省济南市天桥区生产路8号国贸公寓2022,,"批发和零售业,零售业,",安全评价（凭资质经营）；机械与电气设备检验、检测；消防设施检测；消防安全评估（凭资质经营）；企业管理
0b461bfd8baa4b84ab59d914292600be,韶关市网联科技有限公司,注销,暂无官网信息,韶关市浈江区园前东路4号体育大厦一楼1号铺位,,"信息传输、软件和信息技术服务业,软件和信息技术服务业,教育,校园一卡通,教育信息化,",电脑软件开发;承接计算机网络工程开发、设计、安装、维护;销售、维修:办公设备;销售:电子产品;提供电
20d8f9deb4a3913ce5a120ff3194ab9c,泰安鑫汇通物资有限公司,注销,暂无官网信息,山东泰山钢材大市场,,"批发和零售业,批发业,矿产品、建材及化工产品批发,金属及金属矿批发,","钢材、建材(不含危险化学品)、五金交电销售;卷板开平加工。(法律法规规定需经许可生产经营的,须凭许可"
21c566fa7988ce67a49142e5b54d4cc9,山东中再生投资开发有限公司济宁分公司,注销,暂无官网信息,嘉祥高新技术产业开发区呈祥大道北、嘉诚路东(宁宇聚氨酯公司院内),,"批发和零售业,批发业,其他批发业,再生物资回收与批发,",废旧物资、残次和呆滞原料、清仓和超储物资的收购、销售;日用品、针纺织品、日用杂品、家具、五金交电、化
2cd6378be7d3da6f70de8caab3e0a7f1,茌平县志诚铝铁合金制品有限公司,注销,暂无官网信息,茌平县乐平镇郝东村,,"制造业,有色金属冶炼和压延加工业,",铝锭、铝棒生产、销售；钢坯、镙纹钢、圆钢、角钢、方钢加工、销售。(依法须经批准的项目，经相关部门批准
3c8681f9fce6fc8c432adff35835e3f2,佛山市南海成达液压设备有限公司,注销,www.fschengda.com.cn,佛山市南海区狮山镇罗村联和蕉树围工业区,,"制造业,通用设备制造业,金属加工机械制造,金属成形机床制造,液压,",加工、产销：液压机，模具，焊接工艺。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
